epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.42088385554180685,0.8634531590413943,0.1897967098303783,0.937037037037037,0.0001
2,0.19513365225724405,0.9335511982570807,0.14277517769807652,0.9530864197530864,0.0001
3,0.14683753003352087,0.9501633986928104,0.11373710255196065,0.9601851851851851,0.0001
4,0.12136276986019803,0.9594226579520697,0.11257253914703558,0.9611111111111111,0.0001
5,0.11111278350187023,0.961437908496732,0.10755903494578821,0.9617283950617284,0.0001
6,0.09319759897871474,0.9688453159041395,0.09345678313646788,0.9660493827160493,0.0001
7,0.09449166385761273,0.9696078431372549,0.09347783157854904,0.9669753086419753,0.0001
8,0.07821326683679178,0.9731481481481481,0.09427111801909811,0.9657407407407408,0.0001
9,0.07294543497994835,0.9740196078431372,0.08686619987826288,0.9675925925925926,0.0001
10,0.06608873314197806,0.9779956427015251,0.09461190754340755,0.9703703703703703,0.0001
11,0.06648807934848572,0.9774509803921568,0.08605957659030403,0.970679012345679,0.0001
12,0.06433813747400033,0.9776143790849673,0.07978647956509649,0.9734567901234568,0.0001
13,0.0582955321897641,0.9797930283224401,0.07788488612866697,0.9734567901234568,0.0001
14,0.05629844927271597,0.9798474945533769,0.07791349438513502,0.9722222222222222,0.0001
15,0.04899505734776425,0.9822440087145969,0.12151718842394559,0.9601851851851851,0.0001
16,0.05167258641396472,0.9826252723311547,0.07875510685053873,0.9728395061728395,0.0001
17,0.04755553420925257,0.9841503267973856,0.06165080406921513,0.9768518518518519,0.0001
18,0.04587032927812964,0.9841503267973856,0.08124378813821592,0.9737654320987654,0.0001
19,0.04319655535284081,0.9868736383442266,0.08509944266651148,0.9731481481481481,0.0001
20,0.040100271291706166,0.9863289760348584,0.07814336102685811,0.9746913580246913,0.0001
