epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.36010160548754505,0.887962962962963,0.13748686166457189,0.9567901234567902,0.0001
2,0.14189007293944264,0.953921568627451,0.1343139656899888,0.9558641975308642,0.0001
3,0.09877772661076133,0.9668300653594771,0.09693927753854681,0.9694444444444444,0.0001
4,0.079982818963416,0.9740196078431372,0.0976647040910191,0.9709876543209877,0.0001
5,0.07128524537277378,0.9762527233115469,0.07625362477552744,0.9743827160493828,0.0001
6,0.06066341258682846,0.9795751633986928,0.08325333701975551,0.971604938271605,0.0001
7,0.045553264955225076,0.9845860566448802,0.0761859557510894,0.9743827160493828,0.0001
8,0.04949878558297368,0.9830065359477124,0.084051277336699,0.9771604938271605,0.0001
9,0.0416729240453029,0.9864923747276688,0.07785718306255193,0.975,0.0001
10,0.0346478395411554,0.9877995642701525,0.07937213701230508,0.9765432098765432,0.0001
11,0.037556395697973526,0.9877450980392157,0.07342499718989855,0.9746913580246913,0.0001
12,0.03244747691108056,0.9886165577342048,0.06485400286353665,0.9777777777777777,0.0001
13,0.032265598492895724,0.988562091503268,0.06757473134332233,0.980246913580247,0.0001
14,0.03022141397884014,0.990359477124183,0.06846978187928965,0.9780864197530864,0.0001
15,0.03088798376291276,0.9899782135076253,0.08305058903348299,0.9731481481481481,0.0001
16,0.028438899487922525,0.9907952069716776,0.08147790184543456,0.975,0.0001
17,0.029534813878177166,0.9906318082788671,0.07022866092530297,0.9746913580246913,0.0001
18,0.025758148068947665,0.9907407407407407,0.06386163835586221,0.9824074074074074,0.0001
19,0.029307266776013738,0.990958605664488,0.056008420459190265,0.9814814814814815,0.0001
20,0.02157995184388393,0.9929193899782135,0.050456347183128934,0.9824074074074074,0.0001
