epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.3210636597767894,0.8996187363834423,0.1236350977126463,0.9561728395061728,0.0001
2,0.09776748433173482,0.9678104575163399,0.12126180356667365,0.9601851851851851,0.0001
3,0.05581844161408659,0.981917211328976,0.11341482551745427,0.9669753086419753,0.0001
4,0.044391086558793105,0.9855119825708061,0.11061974822739024,0.9660493827160493,0.0001
5,0.03682270378081335,0.9872549019607844,0.09100428797580577,0.9709876543209877,0.0001
6,0.02333787005061937,0.992483660130719,0.10860275174088684,0.9694444444444444,0.0001
7,0.0276458820214491,0.9904684095860566,0.11752828759727654,0.9657407407407408,0.0001
8,0.026747210887473782,0.9919934640522876,0.1480382353251363,0.9589506172839506,0.0001
9,0.025865932521542172,0.9921023965141612,0.12532941023876637,0.9669753086419753,0.0001
10,0.024809610878963485,0.9919389978213508,0.11315129586483962,0.9688271604938271,0.0001
11,0.016791552459681103,0.994880174291939,0.11109776384668586,0.970679012345679,0.0001
12,0.017838953876581798,0.9941176470588236,0.12310429981645242,0.967283950617284,0.0001
13,0.017137132419581667,0.9944444444444445,0.13665884434257025,0.9623456790123457,0.0001
14,0.017918149254047402,0.9942265795206972,0.11527159555734676,0.9660493827160493,0.0001
15,0.013601434901498729,0.9956971677559913,0.11073928689699114,0.9709876543209877,0.0001
16,0.013587551919818492,0.9953159041394336,0.13155053210111312,0.967283950617284,0.0001
17,0.01839805529402135,0.993082788671024,0.12009042092127564,0.9697530864197531,0.0001
18,0.01612529931977378,0.9949891067538127,0.1226655326910133,0.9697530864197531,0.0001
19,0.01252029998307086,0.9956427015250545,0.13374813087859455,0.9682098765432099,0.0001
20,0.008573276986173214,0.9971677559912854,0.1530066151861791,0.9586419753086419,0.0001
21,0.016925685865143092,0.9949891067538127,0.13197007969389726,0.9641975308641976,0.0001
22,0.009166461131347786,0.99760348583878,0.13628315194337456,0.9669753086419753,0.0001
23,0.013642728770778703,0.9955882352941177,0.1349826465924213,0.9626543209876544,0.0001
24,0.014818024132547855,0.9954793028322441,0.1331035332363329,0.967283950617284,0.0001
25,0.012666969753883999,0.9962418300653595,0.10218197825238293,0.9731481481481481,0.0001
26,0.010652899558804036,0.996677559912854,0.14317547438413272,0.9669753086419753,0.0001
27,0.009903014718526,0.9972766884531591,0.13153640561173727,0.9679012345679012,0.0001
28,0.012825273413262847,0.9954248366013072,0.15532825481560494,0.9638888888888889,0.0001
29,0.009245803107990435,0.9974400871459695,0.12654907450447847,0.9709876543209877,0.0001
30,0.008911338016773272,0.9967864923747277,0.22107007297468775,0.9484567901234567,0.0001
