,precision,recall,f1-score,support
AnnualCrop,0.9789103690685413,0.9283333333333333,0.9529512403763901,600.0
Forest,0.9915682967959528,0.98,0.9857502095557418,600.0
HerbaceousVegetation,0.9388083735909822,0.9716666666666667,0.954954954954955,600.0
Highway,0.979381443298969,0.95,0.9644670050761421,500.0
Industrial,0.9840319361277445,0.986,0.985014985014985,500.0
Pasture,0.8947368421052632,0.9775,0.9342891278375149,400.0
PermanentCrop,0.9293139293139293,0.894,0.9113149847094801,500.0
Residential,0.9771615008156607,0.9983333333333333,0.9876339653751031,600.0
River,0.978,0.978,0.978,500.0
SeaLake,0.9983333333333333,0.9983333333333333,0.9983333333333333,600.0
accuracy,0.9668518518518519,0.9668518518518519,0.9668518518518519,0.9668518518518519
macro avg,0.9650246024450377,0.9662166666666666,0.9652709806233645,5400.0
weighted avg,0.967431021365761,0.9668518518518519,0.9668311779060415,5400.0
