epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.09424989762348741,0.9786492374727669,0.07240667185849614,0.9780864197530864,0.0001
2,0.028023458480802496,0.990958605664488,0.047486202234839216,0.9839506172839506,0.0001
3,0.023553829683368308,0.9925381263616557,0.0657839000409032,0.9799382716049383,0.0001
4,0.024756350455002164,0.992483660130719,0.09221655226048128,0.975925925925926,0.0001
5,0.015932833567547787,0.9950980392156863,0.05826628388446054,0.983641975308642,0.0001
6,0.012544419385418235,0.9966230936819173,0.072734797279132,0.9811728395061728,5e-05
7,0.004689550051586865,0.9984204793028323,0.05571011930796099,0.9842592592592593,5e-05
8,0.0037615592291232194,0.9990196078431373,0.05357206736484336,0.9858024691358025,5e-05
9,0.002724255818223341,0.9991830065359477,0.05038472340057064,0.9864197530864197,5e-05
10,0.004899468033588218,0.9987472766884532,0.06907954659588911,0.9808641975308642,5e-05
11,0.002517975422621944,0.9993464052287582,0.04647682945554455,0.9873456790123457,5e-05
12,0.0068542728840268454,0.9978758169934641,0.06589280266464216,0.9817901234567902,5e-05
13,0.008275105782912857,0.9976579520697167,0.05975594361496652,0.9845679012345679,5e-05
14,0.006219226099963631,0.998202614379085,0.07278041350080368,0.9814814814814815,5e-05
15,0.0026875501616897514,0.9992374727668846,0.0594591926590735,0.9839506172839506,2.5e-05
16,0.0018173690649431224,0.9995642701525055,0.057980393973052685,0.9854938271604938,2.5e-05
17,0.000865281455602785,0.9997821350762527,0.05077612977331205,0.9885802469135803,2.5e-05
18,0.0009290715127504656,0.9998366013071895,0.04944720048598232,0.9882716049382716,2.5e-05
19,0.0014871179595510253,0.9995098039215686,0.0539321015041356,0.9882716049382716,2.5e-05
20,0.0009519854722000074,0.9997276688453159,0.05086377052788588,0.9891975308641975,2.5e-05
21,0.0015193599216166472,0.9993464052287582,0.056324699891150506,0.9861111111111112,2.5e-05
22,0.0015457774788765937,0.9997276688453159,0.06212776975956297,0.9861111111111112,2.5e-05
23,0.0022573444851096375,0.999400871459695,0.049235688024531064,0.9891975308641975,2.5e-05
24,0.0012846722069658895,0.9997276688453159,0.05901701122257905,0.987037037037037,1.25e-05
25,0.0006538184331833995,0.9998366013071895,0.052653923281755895,0.9891975308641975,1.25e-05
26,0.00022570362334095386,1.0,0.05129209094886369,0.9888888888888889,1.25e-05
27,0.0001885538295281428,1.0,0.051508990557502125,0.9891975308641975,1.25e-05
28,0.00038511757982212774,0.9998910675381264,0.04767867954153953,0.9895061728395061,1.25e-05
29,0.00022255879276502353,0.9999455337690631,0.0516217825798473,0.9891975308641975,1.25e-05
30,0.00019410864734513157,0.9999455337690631,0.05605736460930518,0.9879629629629629,1.25e-05
