epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.4203189971724886,0.8631263616557734,0.19110473074294904,0.937962962962963,
2,0.19082011095449036,0.9347494553376906,0.1530809164967066,0.9469135802469136,
3,0.15121214372270247,0.9485838779956427,0.11526836332531623,0.9617283950617284,
4,0.11862260760305235,0.9590958605664488,0.14198046900607922,0.9530864197530864,
5,0.10911759118953301,0.9623638344226579,0.09612122022627312,0.9611111111111111,
6,0.09720204058782987,0.9675925925925926,0.09003074055100664,0.971604938271605,
7,0.09538061862287958,0.9668300653594771,0.08551901277200676,0.9685185185185186,
8,0.07842252259355745,0.974128540305011,0.08007410405962556,0.9737654320987654,
9,0.07562613115688555,0.9736383442265795,0.086824661106975,0.970679012345679,
10,0.06631369938777683,0.9771241830065359,0.09091554558203545,0.9697530864197531,
11,0.06549619289524934,0.9770152505446623,0.06847312696921973,0.9774691358024692,
12,0.05888125275328658,0.9807734204793028,0.07720507588927393,0.9728395061728395,
13,0.056148741748955,0.9811546840958606,0.07610012850275746,0.9756172839506173,
14,0.05125194054689412,0.9820261437908496,0.07425359065334002,0.9762345679012345,
15,0.05122355112323054,0.9822984749455338,0.09285920234741989,0.9679012345679012,
16,0.04240970851403046,0.9845860566448802,0.07101862863809974,0.975925925925926,
17,0.04813144617756597,0.9836056644880175,0.08277206733638857,0.9725308641975309,
18,0.04675468043596656,0.9839324618736384,0.07561513654611729,0.975,
19,0.046117869030465095,0.9834967320261437,0.08486305650921515,0.9731481481481481,
20,0.03930909866365667,0.9864379084967321,0.08787755366460777,0.9679012345679012,
